num	comparison-name	block-type	fixed-constraint	comparison-name-test	block-type-test	fixed-constraint-test	level	patient	data-type	filter	probe-name	channel	channel-name	classifier	tmin	tmax	decimate
1	manner_of_articulation	auditory					phone	479_11	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
2	manner_of_articulation	auditory					phone	479_11	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
3	manner_of_articulation	auditory					phone	479_11	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
4	place_of_articulation	auditory					phone	479_11	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
5	place_of_articulation	auditory					phone	479_11	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
6	place_of_articulation	auditory					phone	479_11	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
7	sonority	auditory					phone	479_11	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
8	sonority	auditory					phone	479_11	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
9	sonority	auditory					phone	479_11	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
10	manner_of_articulation	auditory					phone	479_11	spike	gaussian-kernel	RPSTG			logistic	-0.2	0.5	10
11	manner_of_articulation	auditory					phone	479_11	micro	high-gamma	RPSTG			logistic	-0.2	0.5	10
12	manner_of_articulation	auditory					phone	479_11	macro	high-gamma	RPSTG			logistic	-0.2	0.5	10
13	place_of_articulation	auditory					phone	479_11	spike	gaussian-kernel	RPSTG			logistic	-0.2	0.5	10
14	place_of_articulation	auditory					phone	479_11	micro	high-gamma	RPSTG			logistic	-0.2	0.5	10
15	place_of_articulation	auditory					phone	479_11	macro	high-gamma	RPSTG			logistic	-0.2	0.5	10
16	sonority	auditory					phone	479_11	spike	gaussian-kernel	RPSTG			logistic	-0.2	0.5	10
17	sonority	auditory					phone	479_11	micro	high-gamma	RPSTG			logistic	-0.2	0.5	10
18	sonority	auditory					phone	479_11	macro	high-gamma	RPSTG			logistic	-0.2	0.5	10
19	manner_of_articulation	auditory					phone	479_11	spike	gaussian-kernel	RASTG			logistic	-0.2	0.5	10
20	manner_of_articulation	auditory					phone	479_11	micro	high-gamma	RASTG			logistic	-0.2	0.5	10
21	manner_of_articulation	auditory					phone	479_11	macro	high-gamma	RASTG			logistic	-0.2	0.5	10
22	place_of_articulation	auditory					phone	479_11	spike	gaussian-kernel	RASTG			logistic	-0.2	0.5	10
23	place_of_articulation	auditory					phone	479_11	micro	high-gamma	RASTG			logistic	-0.2	0.5	10
24	place_of_articulation	auditory					phone	479_11	macro	high-gamma	RASTG			logistic	-0.2	0.5	10
25	sonority	auditory					phone	479_11	spike	gaussian-kernel	RASTG			logistic	-0.2	0.5	10
26	sonority	auditory					phone	479_11	micro	high-gamma	RASTG			logistic	-0.2	0.5	10
27	sonority	auditory					phone	479_11	macro	high-gamma	RASTG			logistic	-0.2	0.5	10
28	manner_of_articulation	auditory					phone	479_25	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
29	manner_of_articulation	auditory					phone	479_25	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
30	manner_of_articulation	auditory					phone	479_25	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
31	place_of_articulation	auditory					phone	479_25	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
32	place_of_articulation	auditory					phone	479_25	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
33	place_of_articulation	auditory					phone	479_25	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
